Epoch :  [001/300]   |   loss :  1.287510   |   train_accuracy :  44.769841%
Epoch :  [039/300]   |   loss :  0.186994   |   train_accuracy :  98.843254%
Epoch :  [040/300]   |   loss :  0.159258   |   train_accuracy :  99.375000%
Epoch :  [041/300]   |   loss :  0.155173   |   train_accuracy :  99.482143%
Epoch :  [042/300]   |   loss :  0.166971   |   train_accuracy :  99.210317%
Epoch :  [043/300]   |   loss :  0.163786   |   train_accuracy :  99.269841%
Epoch :  [044/300]   |   loss :  0.165398   |   train_accuracy :  99.236111%
Epoch :  [045/300]   |   loss :  0.171046   |   train_accuracy :  99.168651%
Epoch :  [046/300]   |   loss :  0.157731   |   train_accuracy :  99.394841%
Epoch :  [047/300]   |   loss :  0.154199   |   train_accuracy :  99.503968%
Epoch :  [048/300]   |   loss :  0.202688   |   train_accuracy :  98.408730%
Epoch :  [049/300]   |   loss :  0.162192   |   train_accuracy :  99.376984%
Epoch :  [050/300]   |   loss :  0.155418   |   train_accuracy :  99.484127%
Epoch :  [051/300]   |   loss :  0.168908   |   train_accuracy :  99.103175%
Epoch :  [052/300]   |   loss :  0.162448   |   train_accuracy :  99.293651%
Epoch :  [053/300]   |   loss :  0.154218   |   train_accuracy :  99.509921%
Epoch :  [054/300]   |   loss :  0.169358   |   train_accuracy :  99.132937%
Epoch :  [055/300]   |   loss :  0.156358   |   train_accuracy :  99.444444%
Epoch :  [056/300]   |   loss :  0.170350   |   train_accuracy :  99.091270%
Epoch :  [057/300]   |   loss :  0.157100   |   train_accuracy :  99.456349%
Epoch :  [058/300]   |   loss :  0.155482   |   train_accuracy :  99.478175%
Epoch :  [059/300]   |   loss :  0.180737   |   train_accuracy :  99.013889%
Epoch :  [060/300]   |   loss :  0.155102   |   train_accuracy :  99.509921%
Epoch :  [061/300]   |   loss :  0.154108   |   train_accuracy :  99.509921%
Epoch :  [062/300]   |   loss :  0.172787   |   train_accuracy :  99.125000%
Epoch :  [063/300]   |   loss :  0.159644   |   train_accuracy :  99.416667%
Epoch :  [064/300]   |   loss :  0.172190   |   train_accuracy :  99.156746%
Epoch :  [065/300]   |   loss :  0.155985   |   train_accuracy :  99.480159%
Epoch :  [066/300]   |   loss :  0.154091   |   train_accuracy :  99.505952%
Epoch :  [067/300]   |   loss :  0.164220   |   train_accuracy :  99.251984%
Epoch :  [068/300]   |   loss :  0.173630   |   train_accuracy :  99.053571%
Epoch :  [069/300]   |   loss :  0.154389   |   train_accuracy :  99.517857%
Epoch :  [070/300]   |   loss :  0.153895   |   train_accuracy :  99.505952%
Epoch :  [071/300]   |   loss :  0.187214   |   train_accuracy :  98.757937%
Epoch :  [072/300]   |   loss :  0.158334   |   train_accuracy :  99.418651%
Epoch :  [073/300]   |   loss :  0.161400   |   train_accuracy :  99.363095%
Epoch :  [074/300]   |   loss :  0.155365   |   train_accuracy :  99.478175%
Epoch :  [075/300]   |   loss :  0.171983   |   train_accuracy :  99.190476%
Epoch :  [076/300]   |   loss :  0.156786   |   train_accuracy :  99.430556%
Epoch :  [077/300]   |   loss :  0.159564   |   train_accuracy :  99.380952%
Epoch :  [078/300]   |   loss :  0.153873   |   train_accuracy :  99.521825%
Epoch :  [079/300]   |   loss :  0.173022   |   train_accuracy :  99.095238%
Epoch :  [080/300]   |   loss :  0.153723   |   train_accuracy :  99.519841%
Epoch :  [081/300]   |   loss :  0.163460   |   train_accuracy :  99.277778%
Epoch :  [082/300]   |   loss :  0.153746   |   train_accuracy :  99.505952%
Epoch :  [083/300]   |   loss :  0.153771   |   train_accuracy :  99.513889%
Epoch :  [084/300]   |   loss :  0.153321   |   train_accuracy :  99.517857%
Epoch :  [085/300]   |   loss :  0.173100   |   train_accuracy :  99.099206%
Epoch :  [086/300]   |   loss :  0.155190   |   train_accuracy :  99.478175%
Epoch :  [087/300]   |   loss :  0.153545   |   train_accuracy :  99.509921%
Epoch :  [088/300]   |   loss :  0.161502   |   train_accuracy :  99.345238%
Epoch :  [089/300]   |   loss :  0.153612   |   train_accuracy :  99.523810%
Epoch :  [090/300]   |   loss :  0.172668   |   train_accuracy :  99.144841%
Epoch :  [091/300]   |   loss :  0.154366   |   train_accuracy :  99.500000%
Epoch :  [092/300]   |   loss :  0.161523   |   train_accuracy :  99.367063%
Epoch :  [093/300]   |   loss :  0.153693   |   train_accuracy :  99.511905%
Epoch :  [094/300]   |   loss :  0.159836   |   train_accuracy :  99.373016%
Epoch :  [095/300]   |   loss :  0.153517   |   train_accuracy :  99.523810%
Epoch :  [096/300]   |   loss :  0.178762   |   train_accuracy :  98.936508%
Epoch :  [097/300]   |   loss :  0.153907   |   train_accuracy :  99.513889%
Epoch :  [098/300]   |   loss :  0.163772   |   train_accuracy :  99.224206%
Epoch :  [099/300]   |   loss :  0.153724   |   train_accuracy :  99.507937%
Epoch :  [100/300]   |   loss :  0.160694   |   train_accuracy :  99.333333%
Epoch :  [101/300]   |   loss :  0.163930   |   train_accuracy :  99.250000%
Epoch :  [102/300]   |   loss :  0.154004   |   train_accuracy :  99.521825%
Epoch :  [103/300]   |   loss :  0.158417   |   train_accuracy :  99.410714%
Epoch :  [104/300]   |   loss :  0.153772   |   train_accuracy :  99.521825%
Epoch :  [105/300]   |   loss :  0.176999   |   train_accuracy :  98.992063%
Epoch :  [106/300]   |   loss :  0.153882   |   train_accuracy :  99.505952%
Epoch :  [107/300]   |   loss :  0.160313   |   train_accuracy :  99.382937%
Epoch :  [108/300]   |   loss :  0.154134   |   train_accuracy :  99.509921%
Epoch :  [109/300]   |   loss :  0.153956   |   train_accuracy :  99.500000%
Epoch :  [110/300]   |   loss :  0.153506   |   train_accuracy :  99.517857%
Epoch :  [111/300]   |   loss :  0.166540   |   train_accuracy :  99.206349%
Epoch :  [112/300]   |   loss :  0.154078   |   train_accuracy :  99.509921%
Epoch :  [113/300]   |   loss :  0.160377   |   train_accuracy :  99.307540%
Epoch :  [114/300]   |   loss :  0.153739   |   train_accuracy :  99.505952%
Epoch :  [115/300]   |   loss :  0.153369   |   train_accuracy :  99.515873%
Epoch :  [116/300]   |   loss :  0.173394   |   train_accuracy :  99.073413%
Epoch :  [117/300]   |   loss :  0.154143   |   train_accuracy :  99.505952%
Epoch :  [118/300]   |   loss :  0.154075   |   train_accuracy :  99.500000%
Epoch :  [119/300]   |   loss :  0.163843   |   train_accuracy :  99.283730%
Epoch :  [120/300]   |   loss :  0.153784   |   train_accuracy :  99.503968%
Epoch :  [121/300]   |   loss :  0.153499   |   train_accuracy :  99.503968%
Epoch :  [122/300]   |   loss :  0.169910   |   train_accuracy :  99.238095%
Epoch :  [123/300]   |   loss :  0.153786   |   train_accuracy :  99.511905%
Epoch :  [124/300]   |   loss :  0.153235   |   train_accuracy :  99.517857%
Epoch :  [125/300]   |   loss :  0.173436   |   train_accuracy :  99.047619%
Epoch :  [126/300]   |   loss :  0.153541   |   train_accuracy :  99.513889%
Epoch :  [127/300]   |   loss :  0.180710   |   train_accuracy :  98.869048%
Epoch :  [128/300]   |   loss :  0.154274   |   train_accuracy :  99.503968%
Epoch :  [129/300]   |   loss :  0.155646   |   train_accuracy :  99.480159%
Epoch :  [130/300]   |   loss :  0.156732   |   train_accuracy :  99.418651%
Epoch :  [131/300]   |   loss :  0.153690   |   train_accuracy :  99.513889%
Epoch :  [132/300]   |   loss :  0.216828   |   train_accuracy :  98.529762%
Epoch :  [133/300]   |   loss :  0.154605   |   train_accuracy :  99.494048%
Epoch :  [134/300]   |   loss :  0.153714   |   train_accuracy :  99.515873%
Epoch :  [135/300]   |   loss :  0.153499   |   train_accuracy :  99.511905%
Epoch :  [136/300]   |   loss :  0.166762   |   train_accuracy :  99.327381%
Epoch :  [137/300]   |   loss :  0.153912   |   train_accuracy :  99.515873%
Epoch :  [138/300]   |   loss :  0.158098   |   train_accuracy :  99.424603%
Epoch :  [139/300]   |   loss :  0.162479   |   train_accuracy :  99.327381%
Epoch :  [140/300]   |   loss :  0.153710   |   train_accuracy :  99.503968%
Epoch :  [141/300]   |   loss :  0.153185   |   train_accuracy :  99.519841%
Epoch :  [142/300]   |   loss :  0.169919   |   train_accuracy :  99.196429%
Epoch :  [143/300]   |   loss :  0.153927   |   train_accuracy :  99.509921%
Epoch :  [144/300]   |   loss :  0.155639   |   train_accuracy :  99.470238%
Epoch :  [145/300]   |   loss :  0.153621   |   train_accuracy :  99.515873%
Epoch :  [146/300]   |   loss :  0.153383   |   train_accuracy :  99.519841%
Epoch :  [147/300]   |   loss :  0.167428   |   train_accuracy :  99.142857%
Epoch :  [148/300]   |   loss :  0.153631   |   train_accuracy :  99.519841%
Epoch :  [149/300]   |   loss :  0.153714   |   train_accuracy :  99.521825%
Epoch :  [150/300]   |   loss :  0.166514   |   train_accuracy :  99.265873%
Epoch :  [151/300]   |   loss :  0.153857   |   train_accuracy :  99.513889%
Epoch :  [152/300]   |   loss :  0.158900   |   train_accuracy :  99.404762%
Epoch :  [153/300]   |   loss :  0.153352   |   train_accuracy :  99.517857%
Epoch :  [154/300]   |   loss :  0.173337   |   train_accuracy :  99.236111%
Epoch :  [155/300]   |   loss :  0.153854   |   train_accuracy :  99.501984%
Epoch :  [156/300]   |   loss :  0.153402   |   train_accuracy :  99.505952%
Epoch :  [157/300]   |   loss :  0.153388   |   train_accuracy :  99.519841%
Epoch :  [158/300]   |   loss :  0.153461   |   train_accuracy :  99.513889%
Epoch :  [159/300]   |   loss :  0.180360   |   train_accuracy :  99.019841%
Epoch :  [160/300]   |   loss :  0.158358   |   train_accuracy :  99.444444%
Epoch :  [161/300]   |   loss :  0.153397   |   train_accuracy :  99.521825%
Epoch :  [162/300]   |   loss :  0.153720   |   train_accuracy :  99.503968%
Epoch :  [163/300]   |   loss :  0.153314   |   train_accuracy :  99.517857%
Epoch :  [164/300]   |   loss :  0.165050   |   train_accuracy :  99.301587%
Epoch :  [165/300]   |   loss :  0.160097   |   train_accuracy :  99.367063%
Epoch :  [166/300]   |   loss :  0.155479   |   train_accuracy :  99.492063%
Epoch :  [167/300]   |   loss :  0.153746   |   train_accuracy :  99.517857%
Epoch :  [168/300]   |   loss :  0.153342   |   train_accuracy :  99.513889%
Epoch :  [169/300]   |   loss :  0.153361   |   train_accuracy :  99.511905%
Epoch :  [170/300]   |   loss :  0.165353   |   train_accuracy :  99.289683%
Epoch :  [171/300]   |   loss :  0.156562   |   train_accuracy :  99.444444%
Epoch :  [172/300]   |   loss :  0.153500   |   train_accuracy :  99.507937%
Epoch :  [173/300]   |   loss :  0.189705   |   train_accuracy :  98.722222%
Epoch :  [174/300]   |   loss :  0.156712   |   train_accuracy :  99.466270%
Epoch :  [175/300]   |   loss :  0.154491   |   train_accuracy :  99.511905%
Epoch :  [176/300]   |   loss :  0.154073   |   train_accuracy :  99.500000%
Epoch :  [177/300]   |   loss :  0.153431   |   train_accuracy :  99.521825%
Epoch :  [178/300]   |   loss :  0.162321   |   train_accuracy :  99.343254%
Epoch :  [179/300]   |   loss :  0.165737   |   train_accuracy :  99.285714%
Epoch :  [180/300]   |   loss :  0.153699   |   train_accuracy :  99.509921%
Epoch :  [181/300]   |   loss :  0.153406   |   train_accuracy :  99.521825%
Epoch :  [182/300]   |   loss :  0.159095   |   train_accuracy :  99.380952%
Epoch :  [183/300]   |   loss :  0.153423   |   train_accuracy :  99.519841%
Epoch :  [184/300]   |   loss :  0.153432   |   train_accuracy :  99.513889%
Epoch :  [185/300]   |   loss :  0.188014   |   train_accuracy :  98.948413%
Epoch :  [186/300]   |   loss :  0.154147   |   train_accuracy :  99.505952%
Epoch :  [187/300]   |   loss :  0.170541   |   train_accuracy :  99.142857%
Epoch :  [188/300]   |   loss :  0.154012   |   train_accuracy :  99.492063%
Epoch :  [189/300]   |   loss :  0.153313   |   train_accuracy :  99.507937%
Epoch :  [190/300]   |   loss :  0.153535   |   train_accuracy :  99.515873%
Epoch :  [191/300]   |   loss :  0.169868   |   train_accuracy :  99.269841%
Epoch :  [192/300]   |   loss :  0.154019   |   train_accuracy :  99.501984%
Epoch :  [193/300]   |   loss :  0.153301   |   train_accuracy :  99.519841%
Epoch :  [194/300]   |   loss :  0.168856   |   train_accuracy :  99.257937%
Epoch :  [195/300]   |   loss :  0.155188   |   train_accuracy :  99.432540%
Epoch :  [196/300]   |   loss :  0.156122   |   train_accuracy :  99.476190%
Epoch :  [197/300]   |   loss :  0.167260   |   train_accuracy :  99.265873%
Epoch :  [198/300]   |   loss :  0.154365   |   train_accuracy :  99.503968%
Epoch :  [199/300]   |   loss :  0.154201   |   train_accuracy :  99.511905%
Epoch :  [200/300]   |   loss :  0.154304   |   train_accuracy :  99.503968%
Epoch :  [201/300]   |   loss :  0.169703   |   train_accuracy :  99.144841%
Epoch :  [202/300]   |   loss :  0.155132   |   train_accuracy :  99.496032%
Epoch :  [203/300]   |   loss :  0.153589   |   train_accuracy :  99.505952%
Epoch :  [204/300]   |   loss :  0.159222   |   train_accuracy :  99.412698%
Epoch :  [205/300]   |   loss :  0.176768   |   train_accuracy :  99.117063%
Epoch :  [206/300]   |   loss :  0.155994   |   train_accuracy :  99.432540%
Epoch :  [207/300]   |   loss :  0.163877   |   train_accuracy :  99.309524%
Epoch :  [208/300]   |   loss :  0.154345   |   train_accuracy :  99.498016%
Epoch :  [209/300]   |   loss :  0.153968   |   train_accuracy :  99.492063%
Epoch :  [210/300]   |   loss :  0.153484   |   train_accuracy :  99.515873%
Epoch :  [211/300]   |   loss :  0.176228   |   train_accuracy :  99.172619%
Epoch :  [212/300]   |   loss :  0.162977   |   train_accuracy :  99.335317%
Epoch :  [213/300]   |   loss :  0.153662   |   train_accuracy :  99.511905%
Epoch :  [214/300]   |   loss :  0.153518   |   train_accuracy :  99.503968%
Epoch :  [215/300]   |   loss :  0.163930   |   train_accuracy :  99.273810%
Epoch :  [216/300]   |   loss :  0.155114   |   train_accuracy :  99.462302%
Epoch :  [217/300]   |   loss :  0.161195   |   train_accuracy :  99.390873%
Epoch :  [218/300]   |   loss :  0.153549   |   train_accuracy :  99.515873%
Epoch :  [219/300]   |   loss :  0.164763   |   train_accuracy :  99.321429%
Epoch :  [220/300]   |   loss :  0.154149   |   train_accuracy :  99.470238%
Epoch :  [221/300]   |   loss :  0.153634   |   train_accuracy :  99.509921%
Epoch :  [222/300]   |   loss :  0.153510   |   train_accuracy :  99.519841%
Epoch :  [223/300]   |   loss :  0.182362   |   train_accuracy :  98.924603%
Epoch :  [224/300]   |   loss :  0.157818   |   train_accuracy :  99.460317%
Epoch :  [225/300]   |   loss :  0.167359   |   train_accuracy :  99.269841%
Epoch :  [226/300]   |   loss :  0.156292   |   train_accuracy :  99.476190%
Epoch :  [227/300]   |   loss :  0.153689   |   train_accuracy :  99.509921%
Epoch :  [228/300]   |   loss :  0.153324   |   train_accuracy :  99.515873%
Epoch :  [229/300]   |   loss :  0.153455   |   train_accuracy :  99.507937%
Epoch :  [230/300]   |   loss :  0.182605   |   train_accuracy :  99.067460%
Epoch :  [231/300]   |   loss :  0.154821   |   train_accuracy :  99.476190%
Epoch :  [232/300]   |   loss :  0.155762   |   train_accuracy :  99.494048%
Epoch :  [233/300]   |   loss :  0.161124   |   train_accuracy :  99.359127%
Epoch :  [234/300]   |   loss :  0.154589   |   train_accuracy :  99.505952%
Epoch :  [235/300]   |   loss :  0.153673   |   train_accuracy :  99.517857%
Epoch :  [236/300]   |   loss :  0.175673   |   train_accuracy :  99.132937%
Epoch :  [237/300]   |   loss :  0.154383   |   train_accuracy :  99.511905%
Epoch :  [238/300]   |   loss :  0.154829   |   train_accuracy :  99.505952%
Epoch :  [239/300]   |   loss :  0.153591   |   train_accuracy :  99.511905%
Epoch :  [240/300]   |   loss :  0.173564   |   train_accuracy :  99.182540%
Epoch :  [241/300]   |   loss :  0.153686   |   train_accuracy :  99.517857%
Epoch :  [242/300]   |   loss :  0.157807   |   train_accuracy :  99.438492%
Epoch :  [243/300]   |   loss :  0.153629   |   train_accuracy :  99.517857%
Epoch :  [244/300]   |   loss :  0.153409   |   train_accuracy :  99.519841%
Epoch :  [245/300]   |   loss :  0.164482   |   train_accuracy :  99.309524%
Epoch :  [246/300]   |   loss :  0.156107   |   train_accuracy :  99.458333%
Epoch :  [247/300]   |   loss :  0.178917   |   train_accuracy :  99.146825%
Epoch :  [248/300]   |   loss :  0.158157   |   train_accuracy :  99.384921%
Epoch :  [249/300]   |   loss :  0.154158   |   train_accuracy :  99.501984%
Epoch :  [250/300]   |   loss :  0.170663   |   train_accuracy :  99.200397%
Epoch :  [251/300]   |   loss :  0.153844   |   train_accuracy :  99.509921%
Epoch :  [252/300]   |   loss :  0.153527   |   train_accuracy :  99.511905%
Epoch :  [253/300]   |   loss :  0.153476   |   train_accuracy :  99.517857%
Epoch :  [254/300]   |   loss :  0.160577   |   train_accuracy :  99.390873%
Epoch :  [255/300]   |   loss :  0.170548   |   train_accuracy :  99.351190%
Epoch :  [256/300]   |   loss :  0.153718   |   train_accuracy :  99.511905%
Epoch :  [257/300]   |   loss :  0.162308   |   train_accuracy :  99.347222%
Epoch :  [258/300]   |   loss :  0.153681   |   train_accuracy :  99.501984%
Epoch :  [259/300]   |   loss :  0.153497   |   train_accuracy :  99.519841%
Epoch :  [260/300]   |   loss :  0.153514   |   train_accuracy :  99.513889%
Epoch :  [261/300]   |   loss :  0.180541   |   train_accuracy :  98.990079%
Epoch :  [262/300]   |   loss :  0.153564   |   train_accuracy :  99.519841%
Epoch :  [263/300]   |   loss :  0.153485   |   train_accuracy :  99.515873%
Epoch :  [264/300]   |   loss :  0.153512   |   train_accuracy :  99.509921%
Epoch :  [265/300]   |   loss :  0.153545   |   train_accuracy :  99.515873%
Epoch :  [266/300]   |   loss :  0.153423   |   train_accuracy :  99.515873%
Epoch :  [267/300]   |   loss :  0.167274   |   train_accuracy :  99.234127%
Epoch :  [268/300]   |   loss :  0.153509   |   train_accuracy :  99.513889%
Epoch :  [269/300]   |   loss :  0.169160   |   train_accuracy :  99.319444%
Epoch :  [270/300]   |   loss :  0.157420   |   train_accuracy :  99.420635%
Epoch :  [271/300]   |   loss :  0.153656   |   train_accuracy :  99.507937%
Epoch :  [272/300]   |   loss :  0.160919   |   train_accuracy :  99.361111%
Epoch :  [273/300]   |   loss :  0.154081   |   train_accuracy :  99.507937%
Epoch :  [274/300]   |   loss :  0.153307   |   train_accuracy :  99.521825%
Epoch :  [275/300]   |   loss :  0.153776   |   train_accuracy :  99.517857%
Epoch :  [276/300]   |   loss :  0.153152   |   train_accuracy :  99.523810%
Epoch :  [277/300]   |   loss :  0.213603   |   train_accuracy :  98.315476%
Epoch :  [278/300]   |   loss :  0.155814   |   train_accuracy :  99.428571%
Epoch :  [279/300]   |   loss :  0.163823   |   train_accuracy :  99.371032%
Epoch :  [280/300]   |   loss :  0.154061   |   train_accuracy :  99.515873%
Epoch :  [281/300]   |   loss :  0.162952   |   train_accuracy :  99.363095%
Epoch :  [282/300]   |   loss :  0.153645   |   train_accuracy :  99.505952%
Epoch :  [283/300]   |   loss :  0.168020   |   train_accuracy :  99.234127%
Epoch :  [284/300]   |   loss :  0.153662   |   train_accuracy :  99.513889%
Epoch :  [285/300]   |   loss :  0.155326   |   train_accuracy :  99.472222%
Epoch :  [286/300]   |   loss :  0.153397   |   train_accuracy :  99.519841%
Epoch :  [287/300]   |   loss :  0.161302   |   train_accuracy :  99.347222%
Epoch :  [288/300]   |   loss :  0.183542   |   train_accuracy :  98.865079%
Epoch :  [289/300]   |   loss :  0.156455   |   train_accuracy :  99.279762%
Epoch :  [290/300]   |   loss :  0.163106   |   train_accuracy :  99.273810%
Epoch :  [291/300]   |   loss :  0.156375   |   train_accuracy :  99.496032%
Epoch :  [292/300]   |   loss :  0.161282   |   train_accuracy :  99.357143%
Epoch :  [293/300]   |   loss :  0.154878   |   train_accuracy :  99.507937%
Epoch :  [294/300]   |   loss :  0.154177   |   train_accuracy :  99.503968%
Epoch :  [295/300]   |   loss :  0.153881   |   train_accuracy :  99.501984%
Epoch :  [296/300]   |   loss :  0.176591   |   train_accuracy :  98.994048%
Epoch :  [297/300]   |   loss :  0.162517   |   train_accuracy :  99.394841%
Epoch :  [298/300]   |   loss :  0.154040   |   train_accuracy :  99.488095%
Epoch :  [299/300]   |   loss :  0.153365   |   train_accuracy :  99.517857%
Epoch :  [300/300]   |   loss :  0.162307   |   train_accuracy :  99.353175%
Epoch :  [001/300]   |   loss :  1.689613   |   train_accuracy :  51.283730%   |  test_accuracy :  61.984127%
Epoch :  [002/300]   |   loss :  1.385622   |   train_accuracy :  65.476190%   |  test_accuracy :  73.664021%
Epoch :  [003/300]   |   loss :  1.130621   |   train_accuracy :  77.126984%   |  test_accuracy :  82.711640%
Epoch :  [004/300]   |   loss :  0.943301   |   train_accuracy :  84.240079%   |  test_accuracy :  82.116402%
Epoch :  [005/300]   |   loss :  0.848573   |   train_accuracy :  87.051587%   |  test_accuracy :  87.572751%
Epoch :  [006/300]   |   loss :  0.760795   |   train_accuracy :  90.063492%   |  test_accuracy :  91.448413%
Epoch :  [007/300]   |   loss :  0.655736   |   train_accuracy :  93.847222%   |  test_accuracy :  96.693122%
Epoch :  [008/300]   |   loss :  0.614908   |   train_accuracy :  94.480159%   |  test_accuracy :  93.029101%
Epoch :  [009/300]   |   loss :  0.564835   |   train_accuracy :  95.859127%   |  test_accuracy :  98.042328%
Epoch :  [010/300]   |   loss :  0.545706   |   train_accuracy :  95.908730%   |  test_accuracy :  94.675926%
Epoch :  [011/300]   |   loss :  0.501005   |   train_accuracy :  97.250000%   |  test_accuracy :  92.771164%
Epoch :  [012/300]   |   loss :  0.498367   |   train_accuracy :  97.255952%   |  test_accuracy :  99.523810%
Epoch :  [013/300]   |   loss :  0.453757   |   train_accuracy :  98.390873%   |  test_accuracy :  99.523810%
Epoch :  [014/300]   |   loss :  0.449834   |   train_accuracy :  98.400794%   |  test_accuracy :  99.523810%
Epoch :  [015/300]   |   loss :  0.458675   |   train_accuracy :  97.920635%   |  test_accuracy :  99.523810%
Epoch :  [016/300]   |   loss :  0.461414   |   train_accuracy :  98.041667%   |  test_accuracy :  98.809524%
Epoch :  [017/300]   |   loss :  0.425531   |   train_accuracy :  98.642857%   |  test_accuracy :  88.921958%
Epoch :  [018/300]   |   loss :  0.435809   |   train_accuracy :  98.361111%   |  test_accuracy :  98.544974%
Epoch :  [019/300]   |   loss :  0.431519   |   train_accuracy :  98.339286%   |  test_accuracy :  99.523810%
Epoch :  [020/300]   |   loss :  0.419287   |   train_accuracy :  98.724206%   |  test_accuracy :  99.523810%
Epoch :  [021/300]   |   loss :  0.417783   |   train_accuracy :  98.736111%   |  test_accuracy :  99.523810%
Epoch :  [022/300]   |   loss :  0.414717   |   train_accuracy :  98.829365%   |  test_accuracy :  99.523810%
Epoch :  [023/300]   |   loss :  0.424219   |   train_accuracy :  98.621032%   |  test_accuracy :  99.523810%
Epoch :  [024/300]   |   loss :  0.438392   |   train_accuracy :  98.148810%   |  test_accuracy :  99.074074%
Epoch :  [025/300]   |   loss :  0.391661   |   train_accuracy :  99.142857%   |  test_accuracy :  99.523810%
Epoch :  [026/300]   |   loss :  0.426583   |   train_accuracy :  98.150794%   |  test_accuracy :  99.523810%
Epoch :  [027/300]   |   loss :  0.385840   |   train_accuracy :  99.236111%   |  test_accuracy :  99.523810%
Epoch :  [028/300]   |   loss :  0.436859   |   train_accuracy :  98.037698%   |  test_accuracy :  99.523810%
Epoch :  [029/300]   |   loss :  0.394218   |   train_accuracy :  99.035714%   |  test_accuracy :  99.523810%
Epoch :  [030/300]   |   loss :  0.427430   |   train_accuracy :  97.960317%   |  test_accuracy :  99.014550%
Epoch :  [031/300]   |   loss :  0.384177   |   train_accuracy :  99.253968%   |  test_accuracy :  99.523810%
Epoch :  [032/300]   |   loss :  0.395759   |   train_accuracy :  98.930556%   |  test_accuracy :  99.523810%
Epoch :  [033/300]   |   loss :  0.393526   |   train_accuracy :  98.861111%   |  test_accuracy :  99.523810%
Epoch :  [034/300]   |   loss :  0.375941   |   train_accuracy :  99.257937%   |  test_accuracy :  98.518519%
Epoch :  [035/300]   |   loss :  0.466226   |   train_accuracy :  97.224206%   |  test_accuracy :  85.251323%
Epoch :  [036/300]   |   loss :  0.378622   |   train_accuracy :  99.246032%   |  test_accuracy :  99.523810%
Epoch :  [037/300]   |   loss :  0.385144   |   train_accuracy :  99.023810%   |  test_accuracy :  96.600529%
Epoch :  [038/300]   |   loss :  0.385682   |   train_accuracy :  99.055556%   |  test_accuracy :  99.523810%
Epoch :  [039/300]   |   loss :  0.424527   |   train_accuracy :  97.942460%   |  test_accuracy :  99.523810%
Epoch :  [040/300]   |   loss :  0.396574   |   train_accuracy :  98.765873%   |  test_accuracy :  99.523810%
Epoch :  [041/300]   |   loss :  0.365064   |   train_accuracy :  99.472222%   |  test_accuracy :  99.523810%
